reason_code_id,code,description,service_name,service_internal_name,service_id,middesk_bucket
12096,100000,"Personal Purpose, No Industry",Middesk,Middesk,641,naics
11355,11,"Agriculture, Forestry, Fishing and Hunting",Middesk,Middesk,641,naics
11356,1111,Oilseed and Grain Farming,Middesk,Middesk,641,naics
11357,1112,Vegetable and Melon Farming,Middesk,Middesk,641,naics
11358,1113,Fruit and Tree Nut Farming,Middesk,Middesk,641,naics
11359,1114,"Greenhouse, Nursery, and Floriculture Production",Middesk,Middesk,641,naics
11360,1119,Other Crop Farming,Middesk,Middesk,641,naics
11361,1121,Cattle Ranching and Farming,Middesk,Middesk,641,naics
11362,1122,Hog and Pig Farming,Middesk,Middesk,641,naics
11363,1123,Poultry and Egg Production,Middesk,Middesk,641,naics
11364,1124,Sheep and Goat Farming,Middesk,Middesk,641,naics
11365,1125,Aquaculture,Middesk,Middesk,641,naics
11366,1129,Other Animal Production,Middesk,Middesk,641,naics
12095,112920,Horses and Other Equine Production,Middesk,Middesk,641,naics
11367,1131,Timber Tract Operations,Middesk,Middesk,641,naics
11368,1132,Forest Nurseries and Gathering of Forest Products,Middesk,Middesk,641,naics
11369,1133,Logging,Middesk,Middesk,641,naics
11370,1141,Fishing,Middesk,Middesk,641,naics
11371,1142,Hunting and Trapping,Middesk,Middesk,641,naics
11372,1151,Support Activities for Crop Production,Middesk,Middesk,641,naics
11373,1152,Support Activities for Animal Production,Middesk,Middesk,641,naics
11374,1153,Support Activities for Forestry,Middesk,Middesk,641,naics
11375,21,Mining,Middesk,Middesk,641,naics
11376,2111,Oil and Gas Extraction,Middesk,Middesk,641,naics
12094,211120,Crude Petroleum Extraction,Middesk,Middesk,641,naics
11377,2121,Coal Mining,Middesk,Middesk,641,naics
11378,2122,Metal Ore Mining,Middesk,Middesk,641,naics
12093,212222,Silver Ore Mining,Middesk,Middesk,641,naics
11379,2123,Nonmetallic Mineral Mining and Quarrying,Middesk,Middesk,641,naics
11380,2131,Support Activities for Mining,Middesk,Middesk,641,naics
11381,22,Utilities,Middesk,Middesk,641,naics
11382,2211,"Electric Power Generation, Transmission and Distribution",Middesk,Middesk,641,naics
12092,221113,Nuclear Electric Power Generation,Middesk,Middesk,641,naics
12091,221114,Solar Electric Power Generation,Middesk,Middesk,641,naics
11383,2212,Natural Gas Distribution,Middesk,Middesk,641,naics
11384,2213,"Water, Sewage and Other Systems",Middesk,Middesk,641,naics
11385,23,Construction,Middesk,Middesk,641,naics
11386,2361,Residential Building Construction,Middesk,Middesk,641,naics
11387,2362,Nonresidential Building Construction,Middesk,Middesk,641,naics
12090,236220,Commercial and Institutional Building Construction,Middesk,Middesk,641,naics
11388,2371,Utility System Construction,Middesk,Middesk,641,naics
11389,2372,Land Subdivision,Middesk,Middesk,641,naics
11390,2373,"Highway, Street, and Bridge Construction",Middesk,Middesk,641,naics
11391,2379,Other Heavy and Civil Engineering Construction,Middesk,Middesk,641,naics
12089,237990,Other Heavy and Civil Engineering Construction,Middesk,Middesk,641,naics
11392,2381,"Foundation, Structure, and Building Exterior Contractors",Middesk,Middesk,641,naics
11393,2382,Building Equipment Contractors,Middesk,Middesk,641,naics
11394,2383,Building Finishing Contractors,Middesk,Middesk,641,naics
11395,2389,Other Specialty Trade Contractors,Middesk,Middesk,641,naics
11396,31,Manufacturing,Middesk,Middesk,641,naics
11399,3111,Animal Food Manufacturing,Middesk,Middesk,641,naics
12088,311119,Other Animal Food Manufacturing,Middesk,Middesk,641,naics
11400,3112,Grain and Oilseed Milling,Middesk,Middesk,641,naics
12087,311225,Fats and Oils Refining and Blending,Middesk,Middesk,641,naics
11401,3113,Sugar and Confectionery Product Manufacturing,Middesk,Middesk,641,naics
11402,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,Middesk,Middesk,641,naics
11403,3115,Dairy Product Manufacturing,Middesk,Middesk,641,naics
12086,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Middesk,Middesk,641,naics
11404,3116,Animal Slaughtering and Processing,Middesk,Middesk,641,naics
11405,3117,Seafood Product Preparation and Packaging,Middesk,Middesk,641,naics
11406,3118,Bakeries and Tortilla Manufacturing,Middesk,Middesk,641,naics
11407,3119,Other Food Manufacturing,Middesk,Middesk,641,naics
11408,3121,Beverage Manufacturing,Middesk,Middesk,641,naics
12137,312130,Wineries,Middesk,Middesk,641,naics
11409,3122,Tobacco Manufacturing,Middesk,Middesk,641,naics
12085,312221,Cigarette Manufacturing,Middesk,Middesk,641,naics
11410,3131,"Fiber, Yarn, and Thread Mills",Middesk,Middesk,641,naics
11411,3132,Fabric Mills,Middesk,Middesk,641,naics
11412,3133,Textile and Fabric Finishing and Fabric Coating Mills,Middesk,Middesk,641,naics
11413,3141,Textile Furnishings Mills,Middesk,Middesk,641,naics
11414,3149,Other Textile Product Mills,Middesk,Middesk,641,naics
11415,3151,Apparel Knitting Mills,Middesk,Middesk,641,naics
11416,3152,Cut and Sew Apparel Manufacturing,Middesk,Middesk,641,naics
11417,3159,Apparel Accessories and Other Apparel Manufacturing,Middesk,Middesk,641,naics
11418,3161,Leather and Hide Tanning and Finishing,Middesk,Middesk,641,naics
11419,3162,Footwear Manufacturing,Middesk,Middesk,641,naics
11420,3169,Other Leather and Allied Product Manufacturing,Middesk,Middesk,641,naics
11397,32,Manufacturing,Middesk,Middesk,641,naics
11421,3211,Sawmills and Wood Preservation,Middesk,Middesk,641,naics
11422,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",Middesk,Middesk,641,naics
11423,3219,Other Wood Product Manufacturing,Middesk,Middesk,641,naics
11424,3221,"Pulp, Paper, and Paperboard Mills",Middesk,Middesk,641,naics
11425,3222,Converted Paper Product Manufacturing,Middesk,Middesk,641,naics
11426,3231,Printing and Related Support Activities,Middesk,Middesk,641,naics
12084,323111,Commercial Printing (except Screen and Books),Middesk,Middesk,641,naics
11427,3241,Petroleum and Coal Products Manufacturing,Middesk,Middesk,641,naics
11428,3251,Basic Chemical Manufacturing,Middesk,Middesk,641,naics
12083,325110,Petrochemical Manufacturing,Middesk,Middesk,641,naics
11429,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",Middesk,Middesk,641,naics
11430,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Middesk,Middesk,641,naics
11431,3254,Pharmaceutical and Medicine Manufacturing,Middesk,Middesk,641,naics
11432,3255,"Paint, Coating, and Adhesive Manufacturing",Middesk,Middesk,641,naics
11433,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",Middesk,Middesk,641,naics
11434,3259,Other Chemical Product and Preparation Manufacturing,Middesk,Middesk,641,naics
11435,3261,Plastics Product Manufacturing,Middesk,Middesk,641,naics
11436,3262,Rubber Product Manufacturing,Middesk,Middesk,641,naics
11437,3271,Clay Product and Refractory Manufacturing,Middesk,Middesk,641,naics
11438,3272,Glass and Glass Product Manufacturing,Middesk,Middesk,641,naics
11439,3273,Cement and Concrete Product Manufacturing,Middesk,Middesk,641,naics
11440,3274,Lime and Gypsum Product Manufacturing,Middesk,Middesk,641,naics
11441,3279,Other Nonmetallic Mineral Product Manufacturing,Middesk,Middesk,641,naics
11398,33,Manufacturing,Middesk,Middesk,641,naics
11442,3311,Iron and Steel Mills and Ferroalloy Manufacturing,Middesk,Middesk,641,naics
11443,3312,Steel Product Manufacturing from Purchased Steel,Middesk,Middesk,641,naics
11444,3313,Alumina and Aluminum Production and Processing,Middesk,Middesk,641,naics
11445,3314,Nonferrous Metal (except Aluminum) Production and Processing,Middesk,Middesk,641,naics
12082,331420,"Copper Rolling, Drawing, Extruding, and Alloying",Middesk,Middesk,641,naics
12081,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",Middesk,Middesk,641,naics
11446,3315,Foundries,Middesk,Middesk,641,naics
11447,3321,Forging and Stamping,Middesk,Middesk,641,naics
11448,3322,Cutlery and Handtool Manufacturing,Middesk,Middesk,641,naics
11449,3323,Architectural and Structural Metals Manufacturing,Middesk,Middesk,641,naics
11450,3324,"Boiler, Tank, and Shipping Container Manufacturing",Middesk,Middesk,641,naics
11451,3325,Hardware Manufacturing,Middesk,Middesk,641,naics
11452,3326,Spring and Wire Product Manufacturing,Middesk,Middesk,641,naics
11453,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",Middesk,Middesk,641,naics
11454,3328,"Coating, Engraving, Heat Treating, and Allied Activities",Middesk,Middesk,641,naics
12080,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",Middesk,Middesk,641,naics
11455,3329,Other Fabricated Metal Product Manufacturing,Middesk,Middesk,641,naics
11456,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",Middesk,Middesk,641,naics
11457,3332,Industrial Machinery Manufacturing,Middesk,Middesk,641,naics
11458,3333,Commercial and Service Industry Machinery Manufacturing,Middesk,Middesk,641,naics
11459,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",Middesk,Middesk,641,naics
11460,3335,Metalworking Machinery Manufacturing,Middesk,Middesk,641,naics
12079,333517,Machine Tool Manufacturing,Middesk,Middesk,641,naics
11461,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",Middesk,Middesk,641,naics
11462,3339,Other General Purpose Machinery Manufacturing,Middesk,Middesk,641,naics
11463,3341,Computer and Peripheral Equipment Manufacturing,Middesk,Middesk,641,naics
11464,3342,Communications Equipment Manufacturing,Middesk,Middesk,641,naics
11465,3343,Audio and Video Equipment Manufacturing,Middesk,Middesk,641,naics
11466,3344,Semiconductor and Other Electronic Component Manufacturing,Middesk,Middesk,641,naics
11467,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Middesk,Middesk,641,naics
11468,3346,Manufacturing and Reproducing Magnetic and Optical Media,Middesk,Middesk,641,naics
11469,3351,Electric Lighting Equipment Manufacturing,Middesk,Middesk,641,naics
11470,3352,Household Appliance Manufacturing,Middesk,Middesk,641,naics
11471,3353,Electrical Equipment Manufacturing,Middesk,Middesk,641,naics
11472,3359,Other Electrical Equipment and Component Manufacturing,Middesk,Middesk,641,naics
11473,3361,Motor Vehicle Manufacturing,Middesk,Middesk,641,naics
11474,3362,Motor Vehicle Body and Trailer Manufacturing,Middesk,Middesk,641,naics
11475,3363,Motor Vehicle Parts Manufacturing,Middesk,Middesk,641,naics
11476,3364,Aerospace Product and Parts Manufacturing,Middesk,Middesk,641,naics
11477,3365,Railroad Rolling Stock Manufacturing,Middesk,Middesk,641,naics
11478,3366,Ship and Boat Building,Middesk,Middesk,641,naics
11479,3369,Other Transportation Equipment Manufacturing,Middesk,Middesk,641,naics
11480,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,Middesk,Middesk,641,naics
11481,3372,Office Furniture (including Fixtures) Manufacturing,Middesk,Middesk,641,naics
11482,3379,Other Furniture Related Product Manufacturing,Middesk,Middesk,641,naics
11483,3391,Medical Equipment and Supplies Manufacturing,Middesk,Middesk,641,naics
11484,3399,Other Miscellaneous Manufacturing,Middesk,Middesk,641,naics
11485,42,Wholesale Trade,Middesk,Middesk,641,naics
11486,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,Middesk,Middesk,641,naics
11487,4232,Furniture and Home Furnishing Merchant Wholesalers,Middesk,Middesk,641,naics
11488,4233,Lumber and Other Construction Materials Merchant Wholesalers,Middesk,Middesk,641,naics
12078,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",Middesk,Middesk,641,naics
11489,4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,Middesk,Middesk,641,naics
12077,423420,Office Equipment Merchant Wholesalers,Middesk,Middesk,641,naics
12076,423440,Other Commercial Equipment Merchant Wholesalers,Middesk,Middesk,641,naics
11490,4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,Middesk,Middesk,641,naics
11491,4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,Middesk,Middesk,641,naics
11492,4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",Middesk,Middesk,641,naics
11493,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",Middesk,Middesk,641,naics
11494,4239,Miscellaneous Durable Goods Merchant Wholesalers,Middesk,Middesk,641,naics
12075,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",Middesk,Middesk,641,naics
11495,4241,Paper and Paper Product Merchant Wholesalers,Middesk,Middesk,641,naics
11496,4242,Drugs and Druggists' Sundries Merchant Wholesalers,Middesk,Middesk,641,naics
11497,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",Middesk,Middesk,641,naics
11498,4244,Grocery and Related Product Merchant Wholesalers,Middesk,Middesk,641,naics
11499,4245,Farm Product Raw Material Merchant Wholesalers,Middesk,Middesk,641,naics
11500,4246,Chemical and Allied Products Merchant Wholesalers,Middesk,Middesk,641,naics
11501,4247,Petroleum and Petroleum Products Merchant Wholesalers,Middesk,Middesk,641,naics
12074,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Middesk,Middesk,641,naics
11502,4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",Middesk,Middesk,641,naics
11503,4249,Miscellaneous Nondurable Goods Merchant Wholesalers,Middesk,Middesk,641,naics
12073,424910,Farm Supplies Merchant Wholesalers,Middesk,Middesk,641,naics
11504,4251,Wholesale Trade Agents and Brokers,Middesk,Middesk,641,naics
12072,425110,Business to Business Electronic Markets,Middesk,Middesk,641,naics
12071,425120,Wholesale Trade Agents and Brokers,Middesk,Middesk,641,naics
11507,4412,Other Motor Vehicle Dealers,Middesk,Middesk,641,naics
12070,441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",Middesk,Middesk,641,naics
11508,4413,"Automotive Parts, Accessories, and Tire Retailers",Middesk,Middesk,641,naics
11509,4441,Building Material and Supplies Dealers,Middesk,Middesk,641,naics
11510,4442,Lawn and Garden Equipment and Supplies Retailers,Middesk,Middesk,641,naics
11505,"44,45",Retail,Middesk,Middesk,641,naics
11511,4451,Grocery and Convenience Retailers,Middesk,Middesk,641,naics
12069,445110,Supermarkets and Other Grocery (except Convenience) Stores,Middesk,Middesk,641,naics
12068,445120,Convenience Stores,Middesk,Middesk,641,naics
12130,445131,Convenience Retailers,Middesk,Middesk,641,naics
11512,4452,Specialty Food Retailers,Middesk,Middesk,641,naics
12132,445230,Fruit and Vegetable Retailers,Middesk,Middesk,641,naics
12136,445240,Meat Retailers,Middesk,Middesk,641,naics
12129,445291,Baked Goods Retailers,Middesk,Middesk,641,naics
12134,445292,Confectionery and Nut Retailers,Middesk,Middesk,641,naics
12131,445298,All Other Specialty Food Retailers,Middesk,Middesk,641,naics
11513,4453,"Beer, Wine, and Liquor Retailers",Middesk,Middesk,641,naics
12067,445310,"Beer, Wine, and Liquor Stores",Middesk,Middesk,641,naics
12135,445320,"Beer, Wine, and Liquor Retailers",Middesk,Middesk,641,naics
12066,446110,Pharmacies and Drug Stores,Middesk,Middesk,641,naics
12065,446130,Optical Goods Stores,Middesk,Middesk,641,naics
12064,447110,Gasoline Stations with Convenience Stores,Middesk,Middesk,641,naics
12063,447190,Other Gasoline Stations,Middesk,Middesk,641,naics
12062,448210,Shoe Stores,Middesk,Middesk,641,naics
12061,448310,Jewelry Stores,Middesk,Middesk,641,naics
