,provider,source_type,source_code,source_description,canonical_concept,concept_group,signal_class,severity,direction,requires_review,can_contribute_to_decline,dedupe_key,narrative_key,notes,status
identity_name_match_fuzzy,,,,,,,,,,,,,,,
,socure,reason_code,akaEquivalent,Alias match based on the same alias meaning,identity_name_match_fuzzy,unknown,unknown,low,neutral,FALSE,FALSE,akaEquivalent,,,active
,socure,reason_code,akaEquivalent-dobFuzzy,"Alias match based on the same alias meaning, fuzzy DOB match",identity_name_match_fuzzy,unknown,unknown,low,neutral,FALSE,FALSE,akaEquivalent-dobFuzzy,,,active
,socure,reason_code,akaEquivalent-dobNoMatch,"Alias match based on the same alias meaning, DOB does not match the input DOB",identity_name_match_fuzzy,unknown,unknown,low,neutral,FALSE,FALSE,akaEquivalent-dobNoMatch,,,active
,socure,reason_code,akaEquivalent-dobNotOnRecord,"Alias match based on the same alias meaning, source did not return a DOB",identity_name_match_fuzzy,unknown,unknown,low,neutral,FALSE,FALSE,akaEquivalent-dobNotOnRecord,,,active
,socure,reason_code,akaFuzzy,Fuzzy alias match,identity_name_match_fuzzy,unknown,unknown,low,neutral,FALSE,FALSE,akaFuzzy,,,active
,socure,reason_code,akaFuzzy-dobFuzzy,"Fuzzy alias match, fuzzy DOB match",identity_name_match_fuzzy,unknown,unknown,low,neutral,FALSE,FALSE,akaFuzzy-dobFuzzy,,,active
,socure,reason_code,akaFuzzy-dobNoMatch,"Fuzzy alias match, DOB does not match the input DOB",identity_name_match_fuzzy,unknown,unknown,low,neutral,FALSE,FALSE,akaFuzzy-dobNoMatch,,,active
,socure,reason_code,akaFuzzy-dobNotOnRecord,"Fuzzy alias match, source did not return a DOB",identity_name_match_fuzzy,unknown,unknown,low,neutral,FALSE,FALSE,akaFuzzy-dobNotOnRecord,,,active
,socure,reason_code,akaPhonetic,Alias name match based on phonetic similarity,identity_name_match_fuzzy,unknown,unknown,low,neutral,FALSE,FALSE,akaPhonetic,,,active
,socure,reason_code,akaPhonetic-dobFuzzy,"Alias name match based on phonetic similarity, fuzzy DOB match",identity_name_match_fuzzy,unknown,unknown,low,neutral,FALSE,FALSE,akaPhonetic-dobFuzzy,,,active
,socure,reason_code,akaPhonetic-dobNoMatch,"Alias name match based on phonetic similarity, DOB does not match the input DOB",identity_name_match_fuzzy,unknown,unknown,low,neutral,FALSE,FALSE,akaPhonetic-dobNoMatch,,,active
,socure,reason_code,akaPhonetic-dobNotOnRecord,"Alias name match based on phonetic similarity, source did not return a DOB",identity_name_match_fuzzy,unknown,unknown,low,neutral,FALSE,FALSE,akaPhonetic-dobNotOnRecord,,,active
,socure,reason_code,I564,Special characters which are not periods or underscores found in email alias,identity_name_match_fuzzy,identity,identity,low,positive,FALSE,FALSE,I564,,,active
,socure,reason_code,I565,"Email username contains a role-level alias (employees, support, info, postmaster, admin, user, noreply, etc.)",identity_name_match_fuzzy,identity,identity,low,positive,FALSE,FALSE,I565,,,active
,socure,reason_code,I855,First Name matches with a known Nick Name or Alias,identity_name_match_fuzzy,identity,identity,low,positive,FALSE,FALSE,I855,,,active
,socure,reason_code,R576,Email with gmail.com domain has an alias ,identity_name_match_fuzzy,contactability,contactability,medium,warning,TRUE,FALSE,R576,,,active
identity_name_match_exact,,,,,,,,,,,,,,,
,socure,reason_code,akaEquivalent-dobExact,"Alias match based on the same alias meaning, exact DOB match",identity_name_match_exact,unknown,unknown,low,neutral,FALSE,FALSE,akaEquivalent-dobExact,,,active
,socure,reason_code,akaExact,Exact alias match,identity_name_match_exact,unknown,unknown,low,neutral,FALSE,FALSE,akaExact,,,active
,socure,reason_code,akaExact-dobExact,"Exact alias match, exact DOB match",identity_name_match_exact,unknown,unknown,low,neutral,FALSE,FALSE,akaExact-dobExact,,,active
,socure,reason_code,akaExact-dobFuzzy,"Exact alias match, fuzzy DOB match",identity_name_match_exact,unknown,unknown,low,neutral,FALSE,FALSE,akaExact-dobFuzzy,,,active
,socure,reason_code,akaExact-dobNoMatch,"Exact alias match, DOB does not match the input DOB",identity_name_match_exact,unknown,unknown,low,neutral,FALSE,FALSE,akaExact-dobNoMatch,,,active
,socure,reason_code,akaExact-dobNotOnRecord,"Exact alias match, source did not return a DOB",identity_name_match_exact,unknown,unknown,low,neutral,FALSE,FALSE,akaExact-dobNotOnRecord,,,active
