reason_code_id,code,description,service_name,service_internal_name,service_id
6713,akaEquivalent,Alias match based on the same alias meaning,Socure 30,Socure3,80
6697,akaEquivalent-dobExact,"Alias match based on the same alias meaning, exact DOB match",Socure 30,Socure3,80
6698,akaEquivalent-dobFuzzy,"Alias match based on the same alias meaning, fuzzy DOB match",Socure 30,Socure3,80
6699,akaEquivalent-dobNoMatch,"Alias match based on the same alias meaning, DOB does not match the input DOB",Socure 30,Socure3,80
6700,akaEquivalent-dobNotOnRecord,"Alias match based on the same alias meaning, source did not return a DOB",Socure 30,Socure3,80
6706,akaExact,Exact alias match,Socure 30,Socure3,80
6669,akaExact-dobExact,"Exact alias match, exact DOB match",Socure 30,Socure3,80
6670,akaExact-dobFuzzy,"Exact alias match, fuzzy DOB match",Socure 30,Socure3,80
6671,akaExact-dobNoMatch,"Exact alias match, DOB does not match the input DOB",Socure 30,Socure3,80
6672,akaExact-dobNotOnRecord,"Exact alias match, source did not return a DOB",Socure 30,Socure3,80
6712,akaFuzzy,Fuzzy alias match,Socure 30,Socure3,80
6693,akaFuzzy-dobExact,"Fuzzy alias match, exact DOB match",Socure 30,Socure3,80
6694,akaFuzzy-dobFuzzy,"Fuzzy alias match, fuzzy DOB match",Socure 30,Socure3,80
6695,akaFuzzy-dobNoMatch,"Fuzzy alias match, DOB does not match the input DOB",Socure 30,Socure3,80
6696,akaFuzzy-dobNotOnRecord,"Fuzzy alias match, source did not return a DOB",Socure 30,Socure3,80
6714,akaPhonetic,Alias name match based on phonetic similarity,Socure 30,Socure3,80
6701,akaPhonetic-dobExact,"Alias name match based on phonetic similarity, exact DOB match",Socure 30,Socure3,80
6702,akaPhonetic-dobFuzzy,"Alias name match based on phonetic similarity, fuzzy DOB match",Socure 30,Socure3,80
6703,akaPhonetic-dobNoMatch,"Alias name match based on phonetic similarity, DOB does not match the input DOB",Socure 30,Socure3,80
6704,akaPhonetic-dobNotOnRecord,"Alias name match based on phonetic similarity, source did not return a DOB",Socure 30,Socure3,80
2228,E102,Watchlist check error,Socure 30,Socure3,80
10812,I1001,Identity not found within Consortium Institutions,Socure 30,Socure3,80
10813,I1002,National ID was not provided and Socure was unable to prefill National ID for the given identity,Socure 30,Socure3,80
10814,I1003,National ID was not provided and Socure was able to prefill National ID for the given identity,Socure 30,Socure3,80
10815,I1004,Matched identity onto at least 1 other Consortium Institution,Socure 30,Socure3,80
10816,I1005,Matched identity onto at least 4 other Consortium Institutions,Socure 30,Socure3,80
2057,I121,Social networks match,Socure 30,Socure3,80
2059,I127,Online sources are representative of a broader digital footprint than just social networks,Socure 30,Socure3,80
2060,I128,(Deprecated) - Social accounts history good,Socure 30,Socure3,80
2061,I129,(Deprecated) - Social accounts connections good,Socure 30,Socure3,80
2062,I130,(Deprecated) - Social accounts activity good,Socure 30,Socure3,80
2063,I131,(Deprecated) - Social accounts well maintained,Socure 30,Socure3,80
11291,I140,Email address tagged as positive,Socure 30,Socure3,80
11292,I141,Email domain tagged as positive,Socure 30,Socure3,80
11293,I142,Phone number tagged as positive,Socure 30,Socure3,80
11294,I143,IP Address tagged as positive,Socure 30,Socure3,80
11295,I144,Full name tagged as positive,Socure 30,Socure3,80
11296,I145,SSN tagged as positive,Socure 30,Socure3,80
11297,I146,Device tagged as positive,Socure 30,Socure3,80
2058,I196,Entity did not match any selected watchlists,Socure 30,Socure3,80
6397,I201,"(Deprecated) - Name, address and SSN match",Socure 30,Socure3,80
6398,I202,The input National ID is an ITIN,Socure 30,Socure3,80
6957,I203,National ID was first seen in credit header records between 5 to 10 years ago,Socure 30,Socure3,80
6958,I204,National ID is first seen in credit header records more than 10 years ago,Socure 30,Socure3,80
6959,I205,National ID is found to be inquired once every 2 to 3 months,Socure 30,Socure3,80
6960,I206,National ID is found to be inquired once every 3 to 6 months,Socure 30,Socure3,80
6961,I207,National ID is found to be inquired once every 6 to 12 months,Socure 30,Socure3,80
6962,I208,National ID is found to be inquired less than once a year,Socure 30,Socure3,80
9071,I209,Input full name and dob combination found in property records,Socure 30,Socure3,80
9072,I210,Input full name and dob combination found in education/university records,Socure 30,Socure3,80
9073,I211,Input full name and dob matches a drivers license record,Socure 30,Socure3,80
12443,I212,Input National ID is associated with multiple addresses,Socure 30,Socure3,80
13496,I213,Input National ID seems to have a 1-digit error,Socure 30,Socure3,80
13497,I214,Input National ID seems to have a 1-digit typo,Socure 30,Socure3,80
13498,I215,Input birth year seems to have a 1-digit error,Socure 30,Socure3,80
8242,I301,Account is correlated with the first name,Socure 30,Socure3,80
8342,I301,Account is correlated with the first name,Socure 30,Socure3,80
8243,I302,Account is conditionally correlated with the first name,Socure 30,Socure3,80
8343,I302,Account is conditionally correlated with the first name,Socure 30,Socure3,80
8244,I303,(Deprecated) - First name of the account holder is unknown ,Socure 30,Socure3,80
8344,I303,(Deprecated) - First name of the account holder is unknown,Socure 30,Socure3,80
8245,I304,Account is correlated with the last name,Socure 30,Socure3,80
8345,I304,Account is correlated with the last name,Socure 30,Socure3,80
8246,I305,Account is conditionally correlated with the last name,Socure 30,Socure3,80
8346,I305,Account is conditionally correlated with the last name,Socure 30,Socure3,80
8247,I306,(Deprecated) - Last name of the account holder is unknown,Socure 30,Socure3,80
8347,I306,(Deprecated) - Last name of the account holder is unknown,Socure 30,Socure3,80
8248,I307,Account is correlated with the business name,Socure 30,Socure3,80
8348,I307,Account is correlated with the business name,Socure 30,Socure3,80
8249,I308,Account is conditionally correlated with the business name,Socure 30,Socure3,80
8349,I308,Account is conditionally correlated with the business name,Socure 30,Socure3,80
8250,I309,(Deprecated) - Business name of the account is unknown,Socure 30,Socure3,80
8350,I309,(Deprecated) - Business name of the account is unknown,Socure 30,Socure3,80
8251,I310,Account is correlated with the DOB,Socure 30,Socure3,80
8351,I310,Account is correlated with the DOB,Socure 30,Socure3,80
8252,I311,Account is conditionally correlated with the DOB,Socure 30,Socure3,80
8352,I311,Account is conditionally correlated with the DOB,Socure 30,Socure3,80
8253,I312,(Deprecated) - DOB of the account holder is unknown,Socure 30,Socure3,80
8353,I312,(Deprecated) - DOB of the account holder is unknown,Socure 30,Socure3,80
8254,I313,Account is correlated with the SSN,Socure 30,Socure3,80
8354,I313,Account is correlated with the SSN,Socure 30,Socure3,80
8255,I314,Account is conditionally correlated with the SSN,Socure 30,Socure3,80
8355,I314,Account is conditionally correlated with the SSN,Socure 30,Socure3,80
8256,I315,(Deprecated) - SSN/ITIN of the account holder is unknown,Socure 30,Socure3,80
8356,I315,(Deprecated) - SSN/ITIN of the account holder is unknown,Socure 30,Socure3,80
8257,I316,Account is correlated with the address,Socure 30,Socure3,80
8357,I316,Account is correlated with the address,Socure 30,Socure3,80
8258,I317,Account is conditionally correlated with the address,Socure 30,Socure3,80
8358,I317,Account is conditionally correlated with the address,Socure 30,Socure3,80
8259,I318,(Deprecated) - Address of the account holder is unknown,Socure 30,Socure3,80
8359,I318,(Deprecated) - Address of the account holder is unknown,Socure 30,Socure3,80
8260,I319,Account is correlated with the phone,Socure 30,Socure3,80
8360,I319,Account is correlated with the phone,Socure 30,Socure3,80
8261,I320,Account is conditionally correlated with the phone,Socure 30,Socure3,80
8361,I320,Account is conditionally correlated with the phone,Socure 30,Socure3,80
8262,I321,(Deprecated) - Phone number of the account holder is unknown,Socure 30,Socure3,80
8362,I321,(Deprecated) - Phone number of the account holder is unknown,Socure 30,Socure3,80
8263,I322,Account is correlated with the EIN,Socure 30,Socure3,80
8363,I322,Account is correlated with the EIN,Socure 30,Socure3,80
8264,I323,Account is conditionally correlated with the EIN,Socure 30,Socure3,80
8364,I323,Account is conditionally correlated with the EIN,Socure 30,Socure3,80
8265,I324,(Deprecated) - EIN number of the account holder is unknown,Socure 30,Socure3,80
8365,I324,(Deprecated) - EIN number of the account holder is unknown,Socure 30,Socure3,80
8761,I325,SSN derived from ID Graph,Socure 30,Socure3,80
8762,I326,DOB derived from ID Graph,Socure 30,Socure3,80
10817,I328,Indicates if the account has been seen in the last 15 days,Socure 30,Socure3,80
10818,I329,Indicates if the account has been seen in the between 15 and 30 days,Socure 30,Socure3,80
10819,I330,Indicates if the account has been seen in the between 30 and 45 days,Socure 30,Socure3,80
10820,I331,Indicates if the account has been seen in the between 45 and 60 days,Socure 30,Socure3,80
10821,I332,Indicates if the account has been seen in the between 60 and 75 days,Socure 30,Socure3,80
10822,I333,Indicates if the account has been seen in the between 75 and 90 days,Socure 30,Socure3,80
10823,I334,Indicates if the account has been seen in the between 90 and 120 days,Socure 30,Socure3,80
10824,I335,Indicates if the account has been seen in the between 120 and 150 days,Socure 30,Socure3,80
10825,I336,Indicates if the account has been seen in the between 150 and 180 days,Socure 30,Socure3,80
10826,I337,Indicates if the account has been seen in the between 180 and 210 days,Socure 30,Socure3,80
10827,I338,Indicates if the account has been seen in the between 210 and 240 days,Socure 30,Socure3,80
10828,I339,Indicates if the account has been seen in the between 240 and 270 days,Socure 30,Socure3,80
10829,I340,(Deprecated) - Indicates if the account has been seen over 270 days ago,Socure 30,Socure3,80
11298,I341,Indicates if the account has been seen in the between 270 and 300 days,Socure 30,Socure3,80
11299,I342,Indicates if the account has been seen in the between 300 and 365 days,Socure 30,Socure3,80
11300,I343,Indicates if the account has been seen in the between 365 and 730 days,Socure 30,Socure3,80
11301,I344,Indicates if the account has been seen over 730 days ago,Socure 30,Socure3,80
