provider,source_type,source_code,source_description,canonical_concept,concept_group,signal_class,severity,direction,requires_review,can_contribute_to_decline,dedupe_key,narrative_key,notes
socure,reason_code,I1002,National ID was not provided and Socure was unable to prefill National ID for the given identity,,identity,identity,low,positive,FALSE,FALSE,I1002,,
socure,reason_code,I1003,National ID was not provided and Socure was able to prefill National ID for the given identity,,identity,identity,low,positive,FALSE,FALSE,I1003,,
socure,reason_code,I128,(Deprecated) - Social accounts history good,,identity,identity,low,positive,FALSE,FALSE,I128,,
socure,reason_code,I129,(Deprecated) - Social accounts connections good,,identity,identity,low,positive,FALSE,FALSE,I129,,
socure,reason_code,I130,(Deprecated) - Social accounts activity good,,identity,identity,low,positive,FALSE,FALSE,I130,,
socure,reason_code,I131,(Deprecated) - Social accounts well maintained,,identity,identity,low,positive,FALSE,FALSE,I131,,
socure,reason_code,I202,The input National ID is an ITIN,,identity,identity,low,positive,FALSE,FALSE,I202,,
socure,reason_code,I203,National ID was first seen in credit header records between 5 to 10 years ago,,identity,identity,low,positive,FALSE,FALSE,I203,,
socure,reason_code,I204,National ID is first seen in credit header records more than 10 years ago,,identity,identity,low,positive,FALSE,FALSE,I204,,
socure,reason_code,I205,National ID is found to be inquired once every 2 to 3 months,,identity,identity,low,positive,FALSE,FALSE,I205,,
socure,reason_code,I206,National ID is found to be inquired once every 3 to 6 months,,identity,identity,low,positive,FALSE,FALSE,I206,,
socure,reason_code,I207,National ID is found to be inquired once every 6 to 12 months,,identity,identity,low,positive,FALSE,FALSE,I207,,
socure,reason_code,I208,National ID is found to be inquired less than once a year,,identity,identity,low,positive,FALSE,FALSE,I208,,
socure,reason_code,I209,Input full name and dob combination found in property records,,identity,identity,low,positive,FALSE,FALSE,I209,,
socure,reason_code,I210,Input full name and dob combination found in education/university records,,identity,identity,low,positive,FALSE,FALSE,I210,,
socure,reason_code,I212,Input National ID is associated with multiple addresses,,identity,identity,low,positive,FALSE,FALSE,I212,,
socure,reason_code,I213,Input National ID seems to have a 1-digit error,,identity,identity,low,positive,FALSE,FALSE,I213,,
socure,reason_code,I214,Input National ID seems to have a 1-digit typo,,identity,identity,low,positive,FALSE,FALSE,I214,,
socure,reason_code,I215,Input birth year seems to have a 1-digit error,,identity,identity,low,positive,FALSE,FALSE,I215,,
socure,reason_code,I303,(Deprecated) - First name of the account holder is unknown ,,identity,identity,low,positive,FALSE,FALSE,I303,,
socure,reason_code,I303,(Deprecated) - First name of the account holder is unknown,,identity,identity,low,positive,FALSE,FALSE,I303,,
socure,reason_code,I306,(Deprecated) - Last name of the account holder is unknown,,identity,identity,low,positive,FALSE,FALSE,I306,,
socure,reason_code,I306,(Deprecated) - Last name of the account holder is unknown,,identity,identity,low,positive,FALSE,FALSE,I306,,
socure,reason_code,I309,(Deprecated) - Business name of the account is unknown,,identity,identity,low,positive,FALSE,FALSE,I309,,
socure,reason_code,I309,(Deprecated) - Business name of the account is unknown,,identity,identity,low,positive,FALSE,FALSE,I309,,
socure,reason_code,I312,(Deprecated) - DOB of the account holder is unknown,,identity,identity,low,positive,FALSE,FALSE,I312,,
socure,reason_code,I312,(Deprecated) - DOB of the account holder is unknown,,identity,identity,low,positive,FALSE,FALSE,I312,,
socure,reason_code,I315,(Deprecated) - SSN/ITIN of the account holder is unknown,,identity,identity,low,positive,FALSE,FALSE,I315,,
socure,reason_code,I315,(Deprecated) - SSN/ITIN of the account holder is unknown,,identity,identity,low,positive,FALSE,FALSE,I315,,
socure,reason_code,I318,(Deprecated) - Address of the account holder is unknown,,identity,identity,low,positive,FALSE,FALSE,I318,,
socure,reason_code,I318,(Deprecated) - Address of the account holder is unknown,,identity,identity,low,positive,FALSE,FALSE,I318,,
socure,reason_code,I322,Account is correlated with the EIN,,identity,identity,low,positive,FALSE,FALSE,I322,,
socure,reason_code,I322,Account is correlated with the EIN,,identity,identity,low,positive,FALSE,FALSE,I322,,
socure,reason_code,I323,Account is conditionally correlated with the EIN,,identity,identity,low,positive,FALSE,FALSE,I323,,
socure,reason_code,I323,Account is conditionally correlated with the EIN,,identity,identity,low,positive,FALSE,FALSE,I323,,
socure,reason_code,I324,(Deprecated) - EIN number of the account holder is unknown,,identity,identity,low,positive,FALSE,FALSE,I324,,
socure,reason_code,I324,(Deprecated) - EIN number of the account holder is unknown,,identity,identity,low,positive,FALSE,FALSE,I324,,
socure,reason_code,I325,SSN derived from ID Graph,,identity,identity,low,positive,FALSE,FALSE,I325,,
socure,reason_code,I326,DOB derived from ID Graph,,identity,identity,low,positive,FALSE,FALSE,I326,,
socure,reason_code,I328,Indicates if the account has been seen in the last 15 days,,identity,identity,low,positive,FALSE,FALSE,I328,,
socure,reason_code,I329,Indicates if the account has been seen in the between 15 and 30 days,,identity,identity,low,positive,FALSE,FALSE,I329,,
socure,reason_code,I330,Indicates if the account has been seen in the between 30 and 45 days,,identity,identity,low,positive,FALSE,FALSE,I330,,
socure,reason_code,I331,Indicates if the account has been seen in the between 45 and 60 days,,identity,identity,low,positive,FALSE,FALSE,I331,,
socure,reason_code,I332,Indicates if the account has been seen in the between 60 and 75 days,,identity,identity,low,positive,FALSE,FALSE,I332,,
socure,reason_code,I333,Indicates if the account has been seen in the between 75 and 90 days,,identity,identity,low,positive,FALSE,FALSE,I333,,
socure,reason_code,I334,Indicates if the account has been seen in the between 90 and 120 days,,identity,identity,low,positive,FALSE,FALSE,I334,,
socure,reason_code,I335,Indicates if the account has been seen in the between 120 and 150 days,,identity,identity,low,positive,FALSE,FALSE,I335,,
socure,reason_code,I336,Indicates if the account has been seen in the between 150 and 180 days,,identity,identity,low,positive,FALSE,FALSE,I336,,
socure,reason_code,I337,Indicates if the account has been seen in the between 180 and 210 days,,identity,identity,low,positive,FALSE,FALSE,I337,,
socure,reason_code,I338,Indicates if the account has been seen in the between 210 and 240 days,,identity,identity,low,positive,FALSE,FALSE,I338,,
socure,reason_code,I339,Indicates if the account has been seen in the between 240 and 270 days,,identity,identity,low,positive,FALSE,FALSE,I339,,
socure,reason_code,I340,(Deprecated) - Indicates if the account has been seen over 270 days ago,,identity,identity,low,positive,FALSE,FALSE,I340,,
socure,reason_code,I341,Indicates if the account has been seen in the between 270 and 300 days,,identity,identity,low,positive,FALSE,FALSE,I341,,
socure,reason_code,I342,Indicates if the account has been seen in the between 300 and 365 days,,identity,identity,low,positive,FALSE,FALSE,I342,,
socure,reason_code,I343,Indicates if the account has been seen in the between 365 and 730 days,,identity,identity,low,positive,FALSE,FALSE,I343,,
