provider,sourceType,sourceCode,sourceDescription,canonicalConcept,conceptGroup,signalClass,severity,direction,requiresReview,canContributeToDecline,dedupeKey,narrativeKey,notes,status,displayLabel
id_analytics,reason_code,"010","Fictitious Name or Address",identity_risky,identity,identity,high,negative,true,true,"010",,,active,"Fictitious name or address"
id_analytics,reason_code,"018","Consumers asserted age less than 18",identity_age_under_18,identity,identity,medium,negative,true,false,"018",,,active,"Asserted age under 18"
id_analytics,reason_code,"088","Suspected frivolous input",fraud_risky,fraud,fraud,high,negative,true,true,"088",,,active,"Suspected frivolous input"
id_analytics,reason_code,"153","Address match to list of business or commercial addresses",address_high_risk,address,address,medium,negative,true,false,"153",,,active,"Business or commercial address"
id_analytics,reason_code,"157","Address match to list of prison addresses",address_high_risk,address,address,high,negative,true,true,"157",,,active,"Prison address match"
id_analytics,reason_code,"163","Address match to list of Post Office or private Mail box facility",address_po_box,address,address,medium,negative,true,false,"163",,,active,"PO box or private mailbox"
id_analytics,reason_code,"166","Address is a campground or trailer park",address_high_risk,address,address,medium,negative,true,false,"166",,,active,"Campground or trailer park"
id_analytics,reason_code,"180","EVENT - Application received through known risky channel",fraud_risky,fraud,fraud,high,negative,true,true,"180",,,active,"Application from risky channel"
id_analytics,reason_code,"230","SSN likely invalid",ssn_invalid,identity,identity,high,negative,true,true,"230",,,active,"SSN likely invalid"
id_analytics,reason_code,"232","SSN Reported as Deceased",identity_deceased,identity,identity,high,negative,true,true,"232",,,active,"SSN reported as deceased"
id_analytics,reason_code,"233","SSN likely issued before DOB",ssn_issued_before_dob,identity,identity,high,negative,true,true,"233",,,active,"SSN issued before DOB"
id_analytics,reason_code,"238","SSN associated with risk",identity_risky,identity,identity,medium,negative,true,true,"238",,,active,"SSN associated with risk"
id_analytics,reason_code,"248","SSN, Name and DOB reported as Deceased",identity_deceased,identity,identity,high,negative,true,true,"248",,,active,"Identity reported as deceased"
id_analytics,reason_code,"321","EVENT - Home phone number invalid or missing",phone_unverifiable,phone,phone,medium,negative,true,false,"321",,,active,"Home phone invalid or missing"
id_analytics,reason_code,"483","Distance between address and area code of phone number",phone_address_mismatch,phone,phone,medium,negative,true,false,"483",,,active,"Address and phone area code distance"
