provider,sourceType,sourceCode,sourceDescription,canonicalConcept,conceptGroup,signalClass,severity,direction,requiresReview,canContributeToDecline,dedupeKey,narrativeKey,notes,status,displayLabel
middesk,naics_code,100000,"Personal Purpose, No Industry",business_classification_context,business,business,low,neutral,false,false,100000,,,active,"Personal Purpose, No Industry"
middesk,naics_code,11,"Agriculture, Forestry, Fishing and Hunting",business_classification_context,business,business,low,neutral,false,false,11,,,active,"Agriculture, Forestry, Fishing and Hunting"
middesk,naics_code,1111,Oilseed and Grain Farming,business_classification_context,business,business,low,neutral,false,false,1111,,,active,Oilseed and Grain Farming
middesk,naics_code,1112,Vegetable and Melon Farming,business_classification_context,business,business,low,neutral,false,false,1112,,,active,Vegetable and Melon Farming
middesk,naics_code,1113,Fruit and Tree Nut Farming,business_classification_context,business,business,low,neutral,false,false,1113,,,active,Fruit and Tree Nut Farming
middesk,naics_code,1114,"Greenhouse, Nursery, and Floriculture Production",business_classification_context,business,business,low,neutral,false,false,1114,,,active,"Greenhouse, Nursery, and Floriculture Production"
middesk,naics_code,1119,Other Crop Farming,business_classification_context,business,business,low,neutral,false,false,1119,,,active,Other Crop Farming
middesk,naics_code,1121,Cattle Ranching and Farming,business_classification_context,business,business,low,neutral,false,false,1121,,,active,Cattle Ranching and Farming
middesk,naics_code,1122,Hog and Pig Farming,business_classification_context,business,business,low,neutral,false,false,1122,,,active,Hog and Pig Farming
middesk,naics_code,1123,Poultry and Egg Production,business_classification_context,business,business,low,neutral,false,false,1123,,,active,Poultry and Egg Production
middesk,naics_code,1124,Sheep and Goat Farming,business_classification_context,business,business,low,neutral,false,false,1124,,,active,Sheep and Goat Farming
middesk,naics_code,1125,Aquaculture,business_classification_context,business,business,low,neutral,false,false,1125,,,active,Aquaculture
middesk,naics_code,1129,Other Animal Production,business_classification_context,business,business,low,neutral,false,false,1129,,,active,Other Animal Production
middesk,naics_code,112920,Horses and Other Equine Production,business_classification_context,business,business,low,neutral,false,false,112920,,,active,Horses and Other Equine Production
middesk,naics_code,1131,Timber Tract Operations,business_classification_context,business,business,low,neutral,false,false,1131,,,active,Timber Tract Operations
middesk,naics_code,1132,Forest Nurseries and Gathering of Forest Products,business_classification_context,business,business,low,neutral,false,false,1132,,,active,Forest Nurseries and Gathering of Forest Products
middesk,naics_code,1133,Logging,business_classification_context,business,business,low,neutral,false,false,1133,,,active,Logging
middesk,naics_code,1141,Fishing,business_classification_context,business,business,low,neutral,false,false,1141,,,active,Fishing
middesk,naics_code,1142,Hunting and Trapping,business_classification_context,business,business,low,neutral,false,false,1142,,,active,Hunting and Trapping
middesk,naics_code,1151,Support Activities for Crop Production,business_classification_context,business,business,low,neutral,false,false,1151,,,active,Support Activities for Crop Production
middesk,naics_code,1152,Support Activities for Animal Production,business_classification_context,business,business,low,neutral,false,false,1152,,,active,Support Activities for Animal Production
middesk,naics_code,1153,Support Activities for Forestry,business_classification_context,business,business,low,neutral,false,false,1153,,,active,Support Activities for Forestry
middesk,naics_code,21,Mining,business_classification_context,business,business,low,neutral,false,false,21,,,active,Mining
middesk,naics_code,2111,Oil and Gas Extraction,business_classification_context,business,business,low,neutral,false,false,2111,,,active,Oil and Gas Extraction
middesk,naics_code,211120,Crude Petroleum Extraction,business_classification_context,business,business,low,neutral,false,false,211120,,,active,Crude Petroleum Extraction
middesk,naics_code,2121,Coal Mining,business_classification_context,business,business,low,neutral,false,false,2121,,,active,Coal Mining
middesk,naics_code,2122,Metal Ore Mining,business_classification_context,business,business,low,neutral,false,false,2122,,,active,Metal Ore Mining
middesk,naics_code,212222,Silver Ore Mining,business_classification_context,business,business,low,neutral,false,false,212222,,,active,Silver Ore Mining
middesk,naics_code,2123,Nonmetallic Mineral Mining and Quarrying,business_classification_context,business,business,low,neutral,false,false,2123,,,active,Nonmetallic Mineral Mining and Quarrying
middesk,naics_code,2131,Support Activities for Mining,business_classification_context,business,business,low,neutral,false,false,2131,,,active,Support Activities for Mining
middesk,naics_code,22,Utilities,business_classification_context,business,business,low,neutral,false,false,22,,,active,Utilities
middesk,naics_code,2211,"Electric Power Generation, Transmission and Distribution",business_classification_context,business,business,low,neutral,false,false,2211,,,active,"Electric Power Generation, Transmission and Distribution"
middesk,naics_code,221113,Nuclear Electric Power Generation,business_classification_context,business,business,low,neutral,false,false,221113,,,active,Nuclear Electric Power Generation
middesk,naics_code,221114,Solar Electric Power Generation,business_classification_context,business,business,low,neutral,false,false,221114,,,active,Solar Electric Power Generation
middesk,naics_code,2212,Natural Gas Distribution,business_classification_context,business,business,low,neutral,false,false,2212,,,active,Natural Gas Distribution
middesk,naics_code,2213,"Water, Sewage and Other Systems",business_classification_context,business,business,low,neutral,false,false,2213,,,active,"Water, Sewage and Other Systems"
middesk,naics_code,23,Construction,business_classification_context,business,business,low,neutral,false,false,23,,,active,Construction
middesk,naics_code,2361,Residential Building Construction,business_classification_context,business,business,low,neutral,false,false,2361,,,active,Residential Building Construction
middesk,naics_code,2362,Nonresidential Building Construction,business_classification_context,business,business,low,neutral,false,false,2362,,,active,Nonresidential Building Construction
middesk,naics_code,236220,Commercial and Institutional Building Construction,business_classification_context,business,business,low,neutral,false,false,236220,,,active,Commercial and Institutional Building Construction
middesk,naics_code,2371,Utility System Construction,business_classification_context,business,business,low,neutral,false,false,2371,,,active,Utility System Construction
middesk,naics_code,2372,Land Subdivision,business_classification_context,business,business,low,neutral,false,false,2372,,,active,Land Subdivision
middesk,naics_code,2373,"Highway, Street, and Bridge Construction",business_classification_context,business,business,low,neutral,false,false,2373,,,active,"Highway, Street, and Bridge Construction"
middesk,naics_code,2379,Other Heavy and Civil Engineering Construction,business_classification_context,business,business,low,neutral,false,false,2379,,,active,Other Heavy and Civil Engineering Construction
